,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
JANUARY,0.051,0.086,0.124,0.129,0.312,0.382,1.127,2.674,0.935,1.2,2.77,4.159,4.33,5.165,9.003,6.85,10.532,10.88,20.12,27.419,28.47,57.261,59.544,56.241,74.797,117.104,118.546,150.006,181.47,229.62,149471,253173,359778,441266,493146,525610,608630,63.03,84.27,108.8,130.19,154.22,185.25,245.7,231.59,256.87,375.13,473.95
FEBRUARY,0.057,0.088,0.112,0.157,0.322,0.395,1.335,2.215,0.627,1.869,2.161,3.851,4.387,4.912,7.772,6.573,9.648,11.427,20.379,25.024,30.346,51.21,57.424,57.767,81.111,123.583,115.54,142.998,171.45,218.69,153279,278776,401551,471985,477016,541600,655500,66.91,90.72,115.5,139.96,150.1,195.75,251.8,240.31,259.37,382.98,476.47
MARCH,0.055,0.084,0.114,0.155,0.27,0.373,1.062,2.196,0.876,1.301,3.004,3.922,4.525,5.19,7.326,6.824,9.352,11.504,21.968,25.134,31.516,53.142,50.946,60.588,83.137,117.34,123.977,143.545,178.33,216.79,171739,284196,398746,493975,476452,616180,648000,71.75,96.81,109.32,142.42,160.43,203.77,250,252.87,277.06,423.63,528.26
APRIL,0.05,0.075,0.131,0.144,0.299,0.421,2.757,2.11,0.76,1.905,3.31,4.736,4.879,5.08,7.351,7.722,11.055,12.903,25.07,22.706,32.751,66.462,54.132,64.141,90.597,128.061,124.118,152.298,201.8,211.16,203530,327745,441892,493084,563877,735255,728470,83.09,113.13,123.93,153.88,173.61,208.18,270.32,263.83,287.39,473.1,561.18
MAY,0.063,0.114,0.131,0.135,0.27,0.552,4.637,2.796,1.239,1.982,4.366,4.899,5.232,6.424,7.374,7.865,11.734,13.833,27.826,23.236,37.402,68.235,60.416,68.286,92.581,125.872,117.651,166.89,207.97,324.3,218481,424474,497867,530184,624502,771230,807450,97.46,124.89,130.9,167.71,190.91,246.16,297.4,295.13,345.26,524.89,551.12
JUNE,0.108,0.128,0.142,0.226,0.431,0.645,4.227,3.055,1.217,1.953,5.477,5.717,6.026,8.057,7.632,8.717,12.849,14.979,32.697,25.538,41.771,56.92,44.121,81.447,108.149,139.286,134.617,169.767,221.93,234.3,228998,499912,566357,647137,689870,920550,884200,113.92,131.54,135.03,194.79,194.23,280.46,282.81,344.45,378.35,507,637.65
JULY,0.125,0.129,0.148,0.242,0.539,0.724,4.333,2.59,1.186,2.992,5.451,6.339,5.942,9.597,7.753,9.72,14.359,16.57,32.629,24.604,44.882,56.12,52.857,82.456,103.76,149.529,128.466,197.575,226.59,234.26,252753,508701,530884,567211,652491,900790,884145,113.78,129.53,121.35,196.37,202.1,258.3,265.8,322.36,376.93,507.53,589.93
AUGUST,0.135,0.109,0.117,0.196,0.535,0.581,5.427,2.233,1.014,2.266,5.856,4.704,6.135,9.882,7.823,10.438,14.267,18.508,28.804,24.814,47.147,63.08,53.045,75.485,125,138.132,138.262,206.88,230.97,244.6,333350,633000,414691,422163,678046,615790,700750,80.91,94.41,112.04,140.13,156.6,203.1,216.6,285.3,368.4,422.7,524.45
SEPTEMBER,0.11,0.079,0.074,0.144,0.46,0.575,2.625,1.42,1.154,2.344,5.105,4.895,6.0222,10.536,7.723,13.686,14.338,17.053,30.428,23.93,52.84,64.4,55.437,77.574,109.5,132.775,134.692,180.179,230.8,219.853,214967.1,331567,319212,370360,418697,538410,609010,66.8,80.7,112.4,115.82,132.91,185.46,183.9,239.67,301.04,383.06,482.71
OCTOBER,0.074,0.113,0.111,0.278,0.487,0.74,2.9,1.387,1.009,2.24,5.144,4.906,5.905,10.32,8.3,9.857,12.397,16.324,28.506,25.576,56.865,66.8,56.049,73.187,100.125,129.024,134.518,166,214.56,227.8,198000,249375,341612,342243,433000,580830,522300,68.45,80.96,113.48,124.65,130.15,191.7,209.83,230.58,309.44,383.06,447.24
NOVEMBER,0.086,0.1,0.17,0.267,0.405,0.849,1.85,0.803,1.537,2.44,5.792,3.893,5.407,11.794,7.163,10.544,12.688,24.411,26.799,28.125,47.871,63.75,59.009,73.794,101.167,123.761,138.904,168,194.26,231.985,228162.1,225563,364818,355483,464000,645600,545905,75.93,92,120.64,114.45,136.1,202,209.83,231.92,327.25,400.17,462.33
DECEMBER,0.098,0.112,0.133,0.248,0.51,0.547,1.4,0.973,0.933,2.719,4.314,4.104,5.136,8.846,6.936,10.603,11.483,23.815,24.923,27.505,55.798,63.888,63.23,71.814,110.063,123.43,134.343,179,232.518,236.766,230680,273513,402639,427757,521000,598314,625733,81.56,96.19,137.84,132.85,159.44,218.9,249.3,268,345.17,424.69,461.76
